building,Annual,January,February,March,April,May,June,July,August,September,October,November,December
1045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1058x1060,3570464.85667947,333438.643526559,312290.6373767563,347626.2125081547,330425.8732491203,317815.0264555227,284301.4308900392,272622.1039452637,261247.29803155907,249342.54260227157,270295.1861323473,279730.5375919291,311329.3643699471
1065,164091.99475578684,14817.1206180751,14135.359985018207,16810.15872727454,15236.25289041312,15001.974240814128,13469.897111550457,12329.890426600065,12824.029334066403,10755.363613237667,12695.151939749285,12479.11617980729,13537.67968918058
1345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1380,278725.9620789522,26016.448201745414,24395.713249917502,27127.904407260892,25780.214246652104,24780.913338307728,22202.844019973378,21286.18586213587,20339.75285905452,19533.975197984142,21050.425421919725,21851.937287486864,24359.647986514043
1500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1560,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1631,170480.5317891225,15912.770541202564,14921.454558456244,16592.56402576446,15768.275411750159,15157.05149433992,13580.208736916577,13019.525066659007,12440.623162810927,11947.785994838432,12875.331390076968,13365.560518876413,14899.38088743083
1657,170480.5317891225,15912.770541202564,14921.454558456244,16592.56402576446,15768.275411750159,15157.05149433992,13580.208736916577,13019.525066659007,12440.623162810927,11947.785994838432,12875.331390076968,13365.560518876413,14899.38088743083
1676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1690,134745.44101622968,12577.224570372513,11793.7165569311,13114.53204468044,12463.014405613836,11979.92352018175,10733.598572392355,10290.455614098122,9832.903202738926,9443.370176270508,10176.485591748527,10563.960175162698,11776.256586038917
1691,138196.16906330394,12899.320133804515,12095.742498407159,13450.38688307814,12782.187757719348,12286.715646652458,11008.48115348072,10553.985912661314,10084.716579790644,9685.200469382577,10437.098133665013,10834.49270282421,12077.841191837855
1692,96434.15164433369,9001.222463777885,8440.486357250082,9385.761137725218,8919.488872385733,8573.74768693683,7681.7857814827175,7364.63612592911,7037.176166759766,6758.397511006282,7283.073840420475,7560.384356805784,8427.991343853802
1800,215317.21314646344,20097.830717478933,18845.842494245553,20956.441379051634,19915.358680852085,19143.383657538285,17151.81727489653,16443.670251706993,15712.53218652682,15090.091912939146,16261.565345170278,16880.737905983988,18817.941340073186
5300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
west,4938936.851962786,460673.3513142185,431840.4076354384,481656.5251387545,457058.9409262569,439895.78753463365,393710.2722776485,376929.97827171325,361959.654686118,344504.51347276877,373949.6491851746,386632.28723775275,430125.4842823071
all,4938936.851962786,460673.3513142185,431840.4076354384,481656.5251387545,457058.9409262569,439895.78753463365,393710.2722776485,376929.97827171325,361959.654686118,344504.51347276877,373949.6491851746,386632.28723775275,430125.4842823071
